GiftId,TripId
60842,0
41784,0
46647,0
12657,0
78516,0
91266,0
99316,0
27977,0
81128,0
30284,0
15500,0
87306,0
41398,0
62746,0
69548,0
5604,0
87017,0
40065,0
60009,0
92682,0
64645,0
9666,0
86893,0
21432,0
16207,0
93094,0
44197,0
49420,0
35632,0
87562,0
27507,0
87580,0
59714,0
87231,0
31035,0
70288,0
45439,0
90746,0
83461,0
74647,0
93268,0
42478,0
21641,0
81208,0
38742,1
42237,1
72702,1
83725,1
24899,1
26949,1
38462,1
75900,1
9795,1
78958,1
21547,1
49281,1
71077,1
16246,1
64674,1
36231,1
20349,1
60794,1
89184,1
84314,1
48886,1
44698,1
85684,1
69843,1
67338,2
84357,2
83253,2
60622,2
69224,2
45129,2
87284,2
13870,2
79668,2
97727,2
99340,2
71696,2
71685,2
31732,2
82445,2
64717,2
38313,2
7673,2
2924,2
46597,2
97777,2
2584,2
57068,2
87304,2
795,2
48032,2
202,2
73765,2
56337,2
31043,2
64190,2
65000,2
87432,2
24320,2
59939,2
71292,2
95199,2
31380,2
27454,2
43219,3
78661,3
96937,3
11697,3
96135,3
50502,3
19588,3
14765,3
18777,3
57340,3
12839,3
52203,3
33408,3
90949,3
62149,3
22748,3
20844,3
175,3
52162,3
40447,3
86864,3
26351,3
96588,3
88815,3
9933,3
61221,3
98318,3
9093,3
17081,3
23273,3
68927,3
4716,3
30566,3
46061,3
23367,3
76625,3
65051,3
76,3
34682,3
8312,3
88027,3
11666,4
12683,4
55433,4
60800,4
51560,4
91368,4
35331,4
14522,4
21193,4
84832,4
58612,4
19950,4
50324,4
58041,4
93277,4
7011,4
57735,4
94257,4
34227,4
6429,4
59950,4
2036,4
95184,4
23872,4
42817,4
57757,4
51708,4
61054,4
22300,4
88936,4
35681,4
97098,4
72353,4
58841,4
15722,4
1223,4
23453,4
78775,4
22936,4
93214,4
67285,4
89388,4
79794,4
11111,4
63650,5
74449,5
9124,5
75685,5
63861,5
2545,5
87938,5
86674,5
4947,5
45894,5
44870,5
82823,5
30623,5
11984,5
7281,5
81783,5
63341,5
76088,5
79065,5
14369,5
95464,5
40019,5
355,5
843,5
84478,5
89297,5
87668,5
60453,5
76890,5
92683,5
43649,5
82110,5
30357,5
72193,6
96170,6
99250,6
78963,6
15227,6
71065,6
99719,6
9619,6
21450,6
75125,6
33158,6
19968,6
88229,6
93817,6
88180,6
31033,6
12301,6
10044,6
24761,6
8501,6
24597,6
15103,6
39039,6
97858,6
85442,6
76530,6
25090,6
79560,6
94016,6
23245,6
56013,6
33769,6
91081,6
52167,6
93596,6
17279,6
37291,6
50049,6
87610,6
45663,6
96803,6
44057,6
4728,7
75448,7
27048,7
6408,7
97466,7
41593,7
26057,7
11171,7
81945,7
27447,7
77753,7
5532,7
74173,7
12002,7
45138,7
50567,7
16226,7
67013,7
90374,7
19539,7
59629,7
42692,7
42727,7
3273,7
64716,7
64123,7
71330,7
53630,7
47425,7
24665,7
57137,7
92484,7
9096,7
6438,7
24490,7
16761,7
33305,7
54001,7
2058,7
6021,7
10130,7
45400,7
90851,7
32048,8
7939,8
52150,8
31567,8
86855,8
71025,8
57126,8
66160,8
83274,8
42049,8
69380,8
43974,8
11921,8
83408,8
11877,8
64390,8
10771,8
33123,8
66762,8
50873,8
19200,8
84038,8
83664,8
84974,8
54702,8
3093,8
79655,8
19925,8
83463,8
74073,8
80453,8
99615,8
99412,8
65322,8
55753,8
63389,8
82120,8
77724,8
37519,8
5842,8
10459,8
78763,8
43352,8
29648,9
60333,9
61297,9
47573,9
18291,9
30038,9
30849,9
75530,9
29278,9
35526,9
33704,9
16034,9
84074,9
30617,9
92816,9
94149,9
50580,9
45805,9
93713,9
4188,9
22912,9
65462,9
92013,9
23471,9
4123,9
63273,9
52414,9
32200,9
14612,9
13245,9
46935,9
8798,9
49473,9
4754,10
59804,10
57434,10
8221,10
95891,10
47954,10
95862,10
63689,10
19947,10
47484,10
64604,10
70590,10
64592,10
13876,10
87957,10
687,10
36600,10
36573,10
61436,10
56150,10
77069,10
21923,10
15100,10
66855,10
87532,10
31096,10
55302,10
42432,10
12337,10
26488,10
68780,10
93996,10
13390,10
72775,10
15680,10
67195,10
36259,11
31321,11
74094,11
44520,11
30863,11
34649,11
45694,11
5869,11
14859,11
62837,11
18854,11
48150,11
40414,11
68312,11
37431,11
36627,11
33899,11
54938,11
34713,11
75135,11
79890,11
77297,11
15333,11
51385,11
68948,11
68974,11
31730,11
12432,11
82995,11
74403,12
67659,12
99301,12
61187,12
38790,12
76394,12
14852,12
257,12
51725,12
19941,12
51778,12
39720,12
67529,12
41619,12
11427,12
28875,12
98435,12
3104,12
37110,12
43675,12
53976,12
61364,12
8249,12
71056,12
33737,12
29006,12
33413,12
14578,12
77786,12
67913,13
67565,13
29687,13
26300,13
77688,13
33472,13
72898,13
36782,13
38279,13
43692,13
41800,13
5644,13
30515,13
32123,13
58755,13
59476,13
8815,13
83649,13
50812,13
49582,13
21280,13
69175,13
57743,13
90814,13
88212,13
16963,13
43522,13
87687,13
11895,13
40774,13
63080,13
86358,13
35147,13
26960,13
17359,13
68995,13
61748,14
51370,14
6266,14
87392,14
66501,14
92707,14
60549,14
94481,14
51157,14
54583,14
70807,14
45656,14
22194,14
68581,14
43796,14
81933,14
17011,14
27903,14
87043,14
74000,14
34527,14
15548,14
59825,14
20157,14
86070,14
94332,14
83794,14
50343,14
88618,14
36144,14
68814,14
37922,14
93692,14
54419,15
8512,15
90769,15
7499,15
97491,15
22409,15
69901,15
53893,15
23823,15
85859,15
26772,15
29907,15
45004,15
32247,15
59054,15
84358,15
5808,15
88750,15
29373,15
24860,15
59672,15
22411,15
36741,15
70374,15
20952,15
80071,15
33498,16
63355,16
93471,16
32542,16
50489,16
20883,16
62386,16
6054,16
123,16
79519,16
89215,16
55580,16
16434,16
93872,16
78768,16
14605,16
70005,16
46513,16
86120,16
44009,16
59710,16
46903,16
38247,16
99785,16
40301,16
61462,16
64006,16
79751,17
94539,17
14636,17
4280,17
34239,17
88380,17
59982,17
32424,17
94288,17
9931,17
40622,17
52533,17
33839,17
20890,17
91562,17
67268,17
46116,17
53649,17
49918,17
7870,17
33521,17
47672,17
41804,17
18216,17
9799,17
55346,17
74767,17
35870,17
87472,17
36236,17
67421,17
64062,17
39053,17
59914,18
36377,18
63815,18
54154,18
72991,18
51427,18
8165,18
72468,18
72915,18
90773,18
34325,18
26916,18
73381,18
374,18
39978,18
81172,18
20699,18
61109,18
3783,18
31210,18
8592,18
89982,18
52239,18
11609,18
1490,18
54150,18
47723,18
97293,18
6907,18
84268,18
60182,18
92800,19
5393,19
85742,19
60585,19
22068,19
40759,19
30127,19
13328,19
17919,19
66834,19
98642,19
99662,19
39554,19
5635,19
18496,19
23807,19
42676,19
10315,19
98921,19
65336,19
51689,19
26208,19
57763,19
70455,19
46191,19
59196,19
68100,19
46224,19
30110,20
2715,20
88963,20
82828,20
76777,20
88014,20
63325,20
25761,20
99181,20
65017,20
50053,20
58878,20
65277,20
75200,20
14228,20
31902,20
35224,20
78635,20
55997,20
47391,20
79455,20
4616,20
72655,20
66788,20
52416,20
94388,20
65472,20
92822,20
86529,20
70979,20
26191,20
88424,20
5052,20
21875,20
96665,20
51374,20
24186,20
7473,20
9195,20
42777,20
63312,20
17391,20
63069,20
49812,21
6279,21
50380,21
65106,21
80094,21
63416,21
27429,21
26111,21
35915,21
51970,21
67590,21
41034,21
85184,21
63546,21
19531,21
76464,21
3787,21
45055,21
14174,21
39968,21
28111,21
32910,21
52778,21
14146,21
50054,21
39883,21
64922,21
87763,21
34253,21
50100,21
27153,21
28572,21
84805,21
63506,21
72396,22
86978,22
60931,22
33137,22
35624,22
38230,22
83815,22
64686,22
28247,22
94571,22
7286,22
74317,22
50557,22
78772,22
11997,22
9080,22
75308,22
42742,22
82259,22
97000,22
33669,22
22323,22
2157,22
10694,22
70347,22
38672,22
11967,22
2764,22
47786,22
1618,22
57875,22
27352,22
76277,22
24110,22
3144,22
26068,22
95067,22
57154,23
41133,23
16458,23
68617,23
48980,23
93721,23
99535,23
57259,23
69505,23
84298,23
82869,23
47530,23
7720,23
11790,23
53584,23
2614,23
72217,23
31408,23
64342,23
1866,23
28437,23
10685,23
45594,23
10888,23
66854,23
66142,23
75376,23
88006,23
65262,23
79019,23
74316,23
50731,23
35506,23
9266,23
570,24
39971,24
46743,24
39026,24
61480,24
21550,24
15059,24
94581,24
7715,24
60156,24
67314,24
199,24
77663,24
58636,24
27598,24
37063,24
7362,24
16835,24
75945,24
30351,24
62830,24
80572,24
86850,24
44357,24
56433,24
40196,24
19586,24
86007,24
53462,24
45228,24
54995,25
52238,25
39517,25
19026,25
53226,25
36849,25
49504,25
58968,25
72737,25
90611,25
28744,25
15502,25
34528,25
14171,25
1659,25
21757,25
68330,25
39353,25
46622,25
45725,25
74255,25
55026,25
14151,25
56846,25
46189,25
89571,25
74544,25
28280,25
28102,25
41964,26
37802,26
81226,26
17181,26
71584,26
46411,26
40427,26
92592,26
87048,26
91841,26
61127,26
60647,26
50730,26
92899,26
22714,26
36024,26
98547,26
10196,26
76676,26
20481,26
54006,26
23054,26
19071,26
86264,26
36731,26
23150,26
21307,26
24321,26
99254,26
32956,26
85418,26
21174,26
89875,26
69820,27
14271,27
46670,27
79414,27
6227,27
68207,27
48816,27
85131,27
74421,27
69526,27
88273,27
82046,27
14514,27
44442,27
47104,27
89216,27
15154,27
65820,27
49156,27
5362,27
53866,27
65126,27
862,27
87564,27
67173,27
31936,28
25461,28
71308,28
63142,28
